_id.courseId,_id.sectionId,_id.unitId,total_time
66,6,20,10652
66,6,21,53280
66,6,22,614892
66,6,23,79148
66,6,3,4703400
66,6,4,128509450
66,6,5,65092960
66,6,6,12053728
66,6,7,96050663
66,6,8,19917115
66,6,9,7729253
66,7,1,105913700
66,7,10,4089428
66,7,11,21846640
66,7,12,24972391
66,7,13,15050184
66,7,14,20046515
66,7,15,185488152
66,7,16,5745824
66,7,17,2997391
66,7,18,7227995
66,7,19,26707071
66,7,2,9809477
66,7,3,24493730
66,7,4,191093354
66,7,5,13477438
66,7,6,20098324
66,7,7,40786755
66,7,8,230965133
66,7,9,5045071
66,8,1,105604069
66,8,10,30779720
